stratum,injections,removed,residual,removal_rate,removal_rate_ci95_low,removal_rate_ci95_high,auditor_detected_residuals,auditor_residual_sensitivity
file_meta,5,5,0,1.0,0.5655175352168251,1.0,0,
filename,5,5,0,1.0,0.5655175352168251,1.0,0,
free_text,5,5,0,1.0,0.5655175352168251,1.0,0,
nested_sequence,5,5,0,1.0,0.5655175352168251,1.0,0,
pixel_annotation,5,5,0,1.0,0.5655175352168251,1.0,0,
preamble,5,5,0,1.0,0.5655175352168251,1.0,0,
private_attribute,5,5,0,1.0,0.5655175352168251,1.0,0,
standard_metadata,5,5,0,1.0,0.5655175352168251,1.0,0,
temporal,5,5,0,1.0,0.5655175352168251,1.0,0,
uid,5,5,0,1.0,0.5655175352168251,1.0,0,
